title,genres,clean_title
Sinister (2012),Horror Thriller,Sinister
"Thing: Terror Takes Shape, The (1998)",Documentary,"Thing: Terror Takes Shape, The"
Hotel Transylvania (2012),Animation Children Comedy,Hotel Transylvania
Side by Side (2012),Documentary,Side by Side
Take Aim at the Police Van (Sono gosôsha wo nerae: 'Jûsangô taihisen' yori) (1960),Action Crime Mystery,Take Aim at the Police Van (Sono gosôsha wo nerae: 'Jûsangô taihisen' yori)
Argo (2012),Drama Thriller,Argo
Seven Psychopaths (2012),Comedy Crime,Seven Psychopaths
Liberal Arts (2012),Comedy Drama,Liberal Arts
Catch .44 (2011),Action Drama Thriller,Catch .44
[REC]³ 3 Génesis (2012),Horror Thriller,[REC]³ 3 Génesis
Asterix & Obelix: God Save Britannia (Astérix et Obélix: Au service de Sa Majesté) (2012),Adventure Comedy,Asterix & Obelix: God Save Britannia (Astérix et Obélix: Au service de Sa Majesté)
Paranormal Activity 4 (2012),Horror IMAX,Paranormal Activity 4
Alex Cross (2012),Action Crime Mystery Thriller,Alex Cross
Cloud Atlas (2012),Drama Sci-Fi IMAX,Cloud Atlas
'Hellboy': The Seeds of Creation (2004),Action Adventure Comedy Documentary Fantasy,'Hellboy': The Seeds of Creation
Silent Hill: Revelation 3D (2012),Horror Mystery Thriller,Silent Hill: Revelation 3D
Here Comes the Boom (2012),Action Comedy,Here Comes the Boom
Mental (2012),Comedy Drama,Mental
Killing Them Softly (2012),Crime Drama Thriller,Killing Them Softly
"Imposter, The (2012)",Documentary,"Imposter, The"
"Sessions, The (Surrogate, The) (2012)",Drama,"Sessions, The (Surrogate, The)"
Smashed (2012),Comedy Drama,Smashed
Wreck-It Ralph (2012),Animation Comedy,Wreck-It Ralph
Silver Linings Playbook (2012),Comedy Drama,Silver Linings Playbook
Flight (2012),Drama,Flight
Anna Karenina (2012),Drama,Anna Karenina
Life of Pi (2012),Adventure Drama IMAX,Life of Pi
"Man with the Iron Fists, The (2012)",Action Adventure Crime,"Man with the Iron Fists, The"
"Bay, The (2012)",Horror Sci-Fi Thriller,"Bay, The"
Himizu (2011),Children Crime Drama,Himizu
Jackass 3.5 (2011),Comedy Documentary,Jackass 3.5
Indie Game: The Movie (2012),Documentary,Indie Game: The Movie
"Batman: The Dark Knight Returns, Part 1 (2012)",Action Animation Sci-Fi,"Batman: The Dark Knight Returns, Part 1"
Lincoln (2012),Drama War,Lincoln
Nature Calls (2012),Comedy,Nature Calls
Vamps (2012),Comedy Horror Romance,Vamps
"Twilight Saga: Breaking Dawn - Part 2, The (2012)",Adventure Drama Fantasy Romance IMAX,"Twilight Saga: Breaking Dawn - Part 2, The"
10 Years (2011),Comedy Drama Romance,10 Years
Red Dawn (2012),Action War,Red Dawn
Rise of the Guardians (2012),Adventure Animation Children Fantasy IMAX,Rise of the Guardians
"Fantastic Fear of Everything, A (2012)",Comedy,"Fantastic Fear of Everything, A"
Deadfall (2012),Crime Drama Thriller,Deadfall
Byzantium (2012),Drama Fantasy Thriller,Byzantium
Paperman (2012),Animation Comedy Romance,Paperman
"Fearless Hyena, The (Xiao quan guai zhao) (1979)",Action Comedy,"Fearless Hyena, The (Xiao quan guai zhao)"
Half a Loaf of Kung Fu (Dian zhi gong fu gan chian chan) (1980),Action Comedy,Half a Loaf of Kung Fu (Dian zhi gong fu gan chian chan)
Hitchcock (2012),Drama,Hitchcock
From Up on Poppy Hill (Kokuriko-zaka kara) (2011),Animation Drama Romance,From Up on Poppy Hill (Kokuriko-zaka kara)
Redline (2009),Action Animation Sci-Fi,Redline
Winners and Sinners (Qi mou miao ji: Wu fu xing) (1983),Action Comedy Crime,Winners and Sinners (Qi mou miao ji: Wu fu xing)
My Lucky Stars (Fuk sing go jiu) (1985),Action Comedy,My Lucky Stars (Fuk sing go jiu)
"Money Money Money (L'aventure, c'est l'aventure) (1972)",Adventure Comedy,"Money Money Money (L'aventure, c'est l'aventure)"
"Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman, A (2012)",Animation Comedy,"Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman, A"
"Hobbit: An Unexpected Journey, The (2012)",Adventure Fantasy IMAX,"Hobbit: An Unexpected Journey, The"
Hyde Park on Hudson (2012),Comedy Drama,Hyde Park on Hudson
How to Make Love to a Woman (2010),Comedy Romance,How to Make Love to a Woman
Zero Dark Thirty (2012),Action Drama Thriller,Zero Dark Thirty
Fire with Fire (2012),Action Crime Drama,Fire with Fire
Warm Bodies (2013),Comedy Horror Romance,Warm Bodies
Wrong (2012),Comedy Drama,Wrong
Playing for Keeps (2012),Comedy Romance,Playing for Keeps
"Guilt Trip, The (2012)",Comedy,"Guilt Trip, The"
Jack Reacher (2012),Action Crime Thriller,Jack Reacher
Django Unchained (2012),Action Drama Western,Django Unchained
This Is 40 (2012),Drama,This Is 40
I Bought a Vampire Motorcycle (1990),Comedy Horror,I Bought a Vampire Motorcycle
Ice Cream Man (1995),Comedy Horror,Ice Cream Man
"Impossible, The (Imposible, Lo) (2012)",Drama Thriller,"Impossible, The (Imposible, Lo)"
"Misérables, Les (2012)",Drama Musical Romance IMAX,"Misérables, Les"
Campfire Tales (1997),Horror,Campfire Tales
Parental Guidance (2012),Comedy,Parental Guidance
John Dies at the End (2012),Comedy Fantasy Horror,John Dies at the End
"Misérables, Les (2000)",Drama Romance,"Misérables, Les"
Promised Land (2012),Drama,Promised Land
English Vinglish (2012),Comedy Drama,English Vinglish
Fish Story (Fisshu sutôrî) (2009),Comedy,Fish Story (Fisshu sutôrî)
Texas Chainsaw 3D (2013),Horror Mystery Thriller,Texas Chainsaw 3D
Gangster Squad (2013),Action Crime Drama,Gangster Squad
"Iceman, The (2012)",Crime Drama Thriller,"Iceman, The"
It's Such a Beautiful Day (2012),Animation Comedy Drama Fantasy Sci-Fi,It's Such a Beautiful Day
"Batman: The Dark Knight Returns, Part 2 (2013)",Action Animation,"Batman: The Dark Knight Returns, Part 2"
Everything or Nothing: The Untold Story of 007 (2012),Documentary,Everything or Nothing: The Untold Story of 007
Codependent Lesbian Space Alien Seeks Same (2011),Comedy Romance Sci-Fi,Codependent Lesbian Space Alien Seeks Same
"Last Stand, The (2013)",Action Crime Thriller,"Last Stand, The"
Upstream Color (2013),Romance Sci-Fi Thriller,Upstream Color
Shadow Dancer (2012),Crime Drama Thriller,Shadow Dancer
Human Planet (2011),Documentary,Human Planet
Comme un chef (2012),Comedy,Comme un chef
Movie 43 (2013),Comedy,Movie 43
"Pervert's Guide to Ideology, The (2012)",Documentary,"Pervert's Guide to Ideology, The"
Sightseers (2012),Comedy,Sightseers
Hansel & Gretel: Witch Hunters (2013),Action Fantasy Horror IMAX,Hansel & Gretel: Witch Hunters
Jim Jefferies: Fully Functional (EPIX) (2012),Comedy,Jim Jefferies: Fully Functional (EPIX)
Why Stop Now (2012),Comedy Drama,Why Stop Now
Tabu (2012),Drama Romance,Tabu
Upside Down (2012),Drama Romance Sci-Fi,Upside Down
"Liability, The (2012)",Action Thriller,"Liability, The"
Angst  (1983),Drama Horror,Angst
Stand Up Guys (2012),Comedy Crime,Stand Up Guys
Side Effects (2013),Crime Drama Mystery Thriller,Side Effects
Identity Thief (2013),Comedy Crime,Identity Thief
"ABCs of Death, The (2012)",Horror,"ABCs of Death, The"
Beautiful Creatures (2013),Drama Fantasy Romance,Beautiful Creatures
"Good Day to Die Hard, A (2013)",Action Crime Thriller IMAX,"Good Day to Die Hard, A"
21 and Over (2013),Comedy,21 and Over
Safe Haven (2013),Drama Mystery Romance,Safe Haven
Frozen Planet (2011),Documentary,Frozen Planet
"Act of Killing, The (2012)",Documentary,"Act of Killing, The"
Universal Soldier: Day of Reckoning (2012),Action Sci-Fi Thriller,Universal Soldier: Day of Reckoning
Escape from Planet Earth (2013),Adventure Animation Comedy Sci-Fi,Escape from Planet Earth
Before Midnight (2013),Drama Romance,Before Midnight
Snitch (2013),Action Drama Thriller,Snitch
Dark Skies (2013),Horror Sci-Fi Thriller,Dark Skies
Oh Boy (A Coffee in Berlin) (2012),Comedy Drama,Oh Boy (A Coffee in Berlin)
Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei) (2013),Adventure Comedy Fantasy Romance IMAX,Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei)
Maniac Cop 2 (1990),Action Horror Thriller,Maniac Cop 2
Jack the Giant Slayer (2013),Adventure Fantasy IMAX,Jack the Giant Slayer
Wadjda (2012),Drama,Wadjda
"Unintentional Kidnapping of Mrs. Elfriede Ott, The (Die Unabsichtliche Entführung der Frau Elfriede Ott) (2010)",Comedy,"Unintentional Kidnapping of Mrs. Elfriede Ott, The (Die Unabsichtliche Entführung der Frau Elfriede Ott)"
"Legend of Sleepy Hollow, The (1949)",Animation Comedy Horror Musical,"Legend of Sleepy Hollow, The"
G.I. Joe: Retaliation (2013),Action Adventure Sci-Fi Thriller IMAX,G.I. Joe: Retaliation
Stoker (2013),Drama Mystery Thriller,Stoker
Oz the Great and Powerful (2013),Action Adventure Fantasy IMAX,Oz the Great and Powerful
"Croods, The (2013)",Adventure Animation Comedy,"Croods, The"
"Incredible Burt Wonderstone, The (2013)",Comedy,"Incredible Burt Wonderstone, The"
"Call, The (2013)",Drama Thriller,"Call, The"
Olympus Has Fallen (2013),Action Thriller,Olympus Has Fallen
"First Time, The (2012)",Comedy Drama Romance,"First Time, The"
Mezzo Forte (1998),Action Animation Comedy,Mezzo Forte
"Place Beyond the Pines, The (2012)",Crime Drama,"Place Beyond the Pines, The"
"Brass Teapot, The (2012)",Comedy Fantasy Thriller,"Brass Teapot, The"
Phil Spector (2013),Drama,Phil Spector
"Host, The (2013)",Action Adventure Romance,"Host, The"
Admission (2013),Comedy Romance,Admission
Evil Dead (2013),Horror,Evil Dead
Trance (2013),Crime Thriller,Trance
"Perfect Plan, A (Plan parfait, Un) (2012)",Adventure Comedy Romance,"Perfect Plan, A (Plan parfait, Un)"
Oblivion (2013),Action Adventure Sci-Fi IMAX,Oblivion
Dark Tide (2012),Adventure Drama Thriller,Dark Tide
42 (2013),Drama,42
Wolf Children (Okami kodomo no ame to yuki) (2012),Animation Fantasy,Wolf Children (Okami kodomo no ame to yuki)
Disconnect (2012),Drama Thriller,Disconnect
"Invincible Iron Man, The (2007)",Animation,"Invincible Iron Man, The"
Yongary: Monster from the Deep (1967),Children Horror Sci-Fi,Yongary: Monster from the Deep
Pain & Gain (2013),Action Comedy Crime,Pain & Gain
Hulk Vs. (2009),Animation,Hulk Vs.
Resolution (2012),Horror Thriller,Resolution
Grabbers (2012),Comedy Horror Sci-Fi,Grabbers
Justice League: Doom (2012) ,Action Animation Fantasy,Justice League: Doom
"Grandmaster, The (Yi dai zong shi) (2013)",Action Drama IMAX,"Grandmaster, The (Yi dai zong shi)"
This Is the End (2013),Action Comedy,This Is the End
Iron Man 3 (2013),Action Sci-Fi Thriller IMAX,Iron Man 3
"English Teacher, The (2013)",Comedy Drama,"English Teacher, The"
Mud (2012),Adventure Crime Drama,Mud
Bill Hicks: Revelations (1993),Comedy,Bill Hicks: Revelations
Pawn (2013),Crime Thriller,Pawn
Shaolin Temple (Shao Lin si) (1976),Action Adventure Drama,Shaolin Temple (Shao Lin si)
Syrup (2013),Comedy Drama,Syrup
"Great Gatsby, The (2013)",Drama,"Great Gatsby, The"
Star Trek Into Darkness (2013),Action Adventure Sci-Fi IMAX,Star Trek Into Darkness
"Internship, The (2013)",Comedy,"Internship, The"
Darkon (2006),Documentary Fantasy,Darkon
Mimino (1977),Comedy,Mimino
Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu) (1973),Adventure Comedy,Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu)
Only God Forgives (2013),Drama Thriller,Only God Forgives
"Hangover Part III, The (2013)",Comedy,"Hangover Part III, The"
"Fast & Furious 6 (Fast and the Furious 6, The) (2013)",Action Crime Thriller IMAX,"Fast & Furious 6 (Fast and the Furious 6, The)"
Epic (2013),Adventure Animation Fantasy,Epic
Captain America (1979),Action Drama,Captain America
Tie Xi Qu: West of the Tracks (Tiexi qu) (2003),Documentary,Tie Xi Qu: West of the Tracks (Tiexi qu)
"Rink, The (1916)",Comedy,"Rink, The"
Captain America II: Death Too Soon (1979),Action Crime,Captain America II: Death Too Soon
Down Terrace (2009),Comedy Crime Drama,Down Terrace
Frances Ha (2012),Comedy Drama,Frances Ha
"Lords of Salem, The (2012)",Horror Thriller,"Lords of Salem, The"
Behind the Candelabra (2013),Drama,Behind the Candelabra
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty (2000),Documentary,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty
With Great Power: The Stan Lee Story (2012),Documentary,With Great Power: The Stan Lee Story
After Earth (2013),Action Adventure Sci-Fi IMAX,After Earth
Now You See Me (2013),Crime Mystery Thriller,Now You See Me
Inhuman Resources (Redd Inc.) (2012),Horror Thriller,Inhuman Resources (Redd Inc.)
"Way, Way Back, The (2013)",Comedy Drama,"Way, Way Back, The"
Much Ado About Nothing (2012),Comedy Drama Romance,Much Ado About Nothing
Man of Steel (2013),Action Adventure Fantasy Sci-Fi IMAX,Man of Steel
"Kings of Summer, The (2013)",Comedy,"Kings of Summer, The"
"Purge, The (2013)",Crime Horror Thriller,"Purge, The"
Rapture-Palooza (2013),Comedy Fantasy,Rapture-Palooza
20 Feet from Stardom (Twenty Feet from Stardom) (2013),Documentary,20 Feet from Stardom (Twenty Feet from Stardom)
"Bling Ring, The (2013)",Crime Drama,"Bling Ring, The"
Monsters University (2013),Adventure Animation Comedy,Monsters University
Schlussmacher (2013),Comedy,Schlussmacher
Fullmetal Alchemist: The Sacred Star of Milos (2011),Action Adventure Animation,Fullmetal Alchemist: The Sacred Star of Milos
Maniac (2012),Horror Thriller,Maniac
Not Suitable for Children (2012),Comedy Romance,Not Suitable for Children
Pacific Rim (2013),Action Adventure Sci-Fi IMAX,Pacific Rim
LEGO Batman: The Movie - DC Heroes Unite (2013),Action Adventure Animation,LEGO Batman: The Movie - DC Heroes Unite
"Best Offer, The (Migliore offerta, La) (2013)",Thriller,"Best Offer, The (Migliore offerta, La)"
Adam and Eve (National Lampoon's Adam & Eve) (2005),Comedy Drama Romance,Adam and Eve (National Lampoon's Adam & Eve)
World War Z (2013),Action Drama Horror IMAX,World War Z
Elysium (2013),Action Drama Sci-Fi IMAX,Elysium
Despicable Me 2 (2013),Animation Children Comedy IMAX,Despicable Me 2
White House Down (2013),Action Drama Thriller IMAX,White House Down
"World's End, The (2013)",Action Comedy Sci-Fi,"World's End, The"
Redemption (Hummingbird) (2013),Action Crime Thriller,Redemption (Hummingbird)
"Heat, The (2013)",Action Comedy Crime,"Heat, The"
"Lone Ranger, The (2013)",Action Adventure Western IMAX,"Lone Ranger, The"
Passion (2012),Crime Drama Mystery Thriller,Passion
V/H/S/2 (2013),Horror Thriller,V/H/S/2
"Knot, The (2012)",Comedy Romance,"Knot, The"
The Spectacular Now (2013),Comedy Drama Romance,The Spectacular Now
"Lifeguard, The (2013)",Comedy Drama,"Lifeguard, The"
Sharknado (2013),Sci-Fi,Sharknado
Craig Ferguson: I'm Here To Help (2013),Comedy Documentary,Craig Ferguson: I'm Here To Help
Stuck in Love (2012),Comedy Drama Romance,Stuck in Love
Class Act (1992),Comedy,Class Act
Fruitvale Station (2013),Drama,Fruitvale Station
R.I.P.D. (2013),Action Comedy Fantasy,R.I.P.D.
"Field in England, A (2013)",Drama Fantasy Thriller War,"Field in England, A"
"Conjuring, The (2013)",Horror Thriller,"Conjuring, The"
Turbo (2013),Adventure Animation Children Comedy Fantasy,Turbo
"Wolverine, The (2013)",Action Adventure Fantasy Sci-Fi,"Wolverine, The"
Drinking Buddies (2013),Comedy Drama Romance,Drinking Buddies
Red 2 (2013),Action Comedy Crime Thriller,Red 2
Coffee Town (2013),Comedy,Coffee Town
Revenge for Jolly! (2012),Comedy Drama,Revenge for Jolly!
2 Guns (2013),Action Comedy Crime,2 Guns
Blue Jasmine (2013),Drama,Blue Jasmine
"Great Beauty, The (Grande Bellezza, La) (2013)",Comedy Drama,"Great Beauty, The (Grande Bellezza, La)"
3 dev adam (Three Giant Men) (1973) ,Action Adventure Sci-Fi,3 dev adam (Three Giant Men)
Louis C.K.: Oh My God (2013),Comedy,Louis C.K.: Oh My God
Percy Jackson: Sea of Monsters (2013),Adventure Children Fantasy,Percy Jackson: Sea of Monsters
"Smurfs 2, The (2013)",Animation Children Comedy,"Smurfs 2, The"
Alan Partridge: Alpha Papa (2013),Comedy,Alan Partridge: Alpha Papa
Man of Tai Chi (2013),Action IMAX,Man of Tai Chi
Batman: Mystery of the Batwoman (2003),Action Animation Children Crime,Batman: Mystery of the Batwoman
We're the Millers (2013),Comedy Crime,We're the Millers
Grown Ups 2 (2013),Comedy,Grown Ups 2
Kick-Ass 2 (2013),Action Comedy Crime,Kick-Ass 2
Riddick (2013),Action Sci-Fi Thriller IMAX,Riddick
Planes (2013),Adventure Animation Comedy,Planes
Blackfish (2013),Documentary,Blackfish
"Wind Rises, The (Kaze tachinu) (2013)",Animation Drama Romance,"Wind Rises, The (Kaze tachinu)"
Jobs (2013),Drama,Jobs
Lee Daniels' The Butler (2013),Drama,Lee Daniels' The Butler
In a World... (2013),Comedy,In a World...
About Time (2013),Drama Fantasy Romance,About Time
Justice League: Crisis on Two Earths (2010),Action Animation Sci-Fi,Justice League: Crisis on Two Earths
You're Next (2011),Horror Thriller,You're Next
Maria Bamford: The Special Special Special! (2012),Comedy,Maria Bamford: The Special Special Special!
Getaway (2013),Action Crime,Getaway
"Mystery of the Third Planet, The (Tayna tretey planety) (1981)",Adventure Animation Sci-Fi,"Mystery of the Third Planet, The (Tayna tretey planety)"
Rage of Honor (1987),Action Crime,Rage of Honor
Gravity (2013),Action Sci-Fi IMAX,Gravity
What If (2013),Comedy Drama Romance,What If
"History of Future Folk, The (2012)",Adventure Comedy Musical Sci-Fi,"History of Future Folk, The"
Prisoners (2013),Drama Mystery Thriller,Prisoners
Austenland (2013),Comedy Romance,Austenland
Insidious: Chapter 2 (2013),Horror Thriller,Insidious: Chapter 2
Rush (2013),Action Drama,Rush
"Family, The (2013)",Action Comedy Crime,"Family, The"
Short Term 12 (2013),Drama,Short Term 12
Collision Course (1989),Action Comedy Thriller,Collision Course
"To Do List, The (2013)",Comedy,"To Do List, The"
Inescapable (2012),Action Drama War,Inescapable
Nebraska (2013),Adventure Drama,Nebraska
Enough Said (2013),Comedy Drama Romance,Enough Said
Don Jon (2013),Comedy Drama Romance,Don Jon
Mood Indigo (L'écume des jours) (2013),Drama Fantasy,Mood Indigo (L'écume des jours)
"Century of the Self, The (2002)",Documentary,"Century of the Self, The"
Crystal Fairy & the Magical Cactus and 2012 (2013),Adventure Comedy,Crystal Fairy & the Magical Cactus and 2012
Bad Milo (Bad Milo!) (2013),Comedy Horror,Bad Milo (Bad Milo!)
Runner Runner (2013),Crime Drama Thriller,Runner Runner
Blue Is the Warmest Color (La vie d'Adèle) (2013),Drama Romance,Blue Is the Warmest Color (La vie d'Adèle)
Cloudy with a Chance of Meatballs 2 (2013),Animation Children Comedy Fantasy,Cloudy with a Chance of Meatballs 2
Captain Phillips (2013),Adventure Drama Thriller IMAX,Captain Phillips
"All Dogs Christmas Carol, An (1998)",Animation Children Comedy Musical,"All Dogs Christmas Carol, An"
Machete Kills (Machete 2) (2013),Action Crime Thriller,Machete Kills (Machete 2)
Filth (2013),Comedy Crime Drama,Filth
Escape Plan (2013),Action Mystery Thriller,Escape Plan
"Thief of Paris, The (Le voleur) (1967)",Comedy Crime Drama,"Thief of Paris, The (Le voleur)"
Carrie (2013),Drama Horror,Carrie
UnHung Hero (2013),Documentary,UnHung Hero
"Counselor, The (2013)",Crime Drama Thriller,"Counselor, The"
Escape From Tomorrow (2013),Drama Fantasy Horror,Escape From Tomorrow
"Double, The (2013)",Comedy Drama Thriller,"Double, The"
12 Years a Slave (2013),Drama,12 Years a Slave
All Is Lost (2013),Action Adventure Drama,All Is Lost
Ender's Game (2013),Action Adventure Sci-Fi IMAX,Ender's Game
Jackass Presents: Bad Grandpa (2013),Comedy,Jackass Presents: Bad Grandpa
Thor: The Dark World (2013),Action Adventure Fantasy IMAX,Thor: The Dark World
Dallas Buyers Club (2013),Drama,Dallas Buyers Club
"Selfish Giant, The (2013)",Drama,"Selfish Giant, The"
Last Vegas (2013),Comedy Drama Romance,Last Vegas
Philomena (2013),Comedy Drama,Philomena
"Book Thief, The (2013)",Children Drama War,"Book Thief, The"
The Hunger Games: Catching Fire (2013),Action Adventure Sci-Fi IMAX,The Hunger Games: Catching Fire
"Hobbit: The Desolation of Smaug, The (2013)",Adventure Fantasy IMAX,"Hobbit: The Desolation of Smaug, The"
47 Ronin (2013),Action Adventure Fantasy,47 Ronin
Delivery Man (2013),Comedy,Delivery Man
Charlie Countryman (2013),Action Comedy Romance,Charlie Countryman
Red Flag (2012),Comedy Drama Romance,Red Flag
"Day of the Doctor, The (2013)",Adventure Drama Sci-Fi,"Day of the Doctor, The"
Guilty of Romance (Koi no tsumi) (2011) ,Crime Drama Horror,Guilty of Romance (Koi no tsumi)
Frozen (2013),Adventure Animation Comedy Fantasy Musical Romance,Frozen
Inside Llewyn Davis (2013),Drama,Inside Llewyn Davis
"Wolf of Wall Street, The (2013)",Comedy Crime Drama,"Wolf of Wall Street, The"
Homefront (2013),Action Crime Thriller,Homefront
Mandela: Long Walk to Freedom (2013),Drama,Mandela: Long Walk to Freedom
Evangelion: 3.0 You Can (Not) Redo (2012),Action Animation Drama,Evangelion: 3.0 You Can (Not) Redo
All is Bright (2013),Comedy Drama,All is Bright
Tim's Vermeer (2013),Documentary,Tim's Vermeer
American Hustle (2013),Crime Drama,American Hustle
"Secret Life of Walter Mitty, The (2013)",Adventure Comedy Drama,"Secret Life of Walter Mitty, The"
Her (2013),Drama Romance Sci-Fi,Her
RoboGeisha (Robo-geisha) (2009),Action Comedy Sci-Fi,RoboGeisha (Robo-geisha)
"Christmas Carol, A (1977)",Drama Fantasy,"Christmas Carol, A"
Lone Survivor (2013),Action Drama Thriller War,Lone Survivor
Saving Mr. Banks (2013),Comedy Drama,Saving Mr. Banks
Zatoichi and the Chest of Gold (Zatôichi senryô-kubi) (Zatôichi 6) (1964),Action Drama,Zatoichi and the Chest of Gold (Zatôichi senryô-kubi) (Zatôichi 6)
Oldboy (2013),Action Drama Mystery,Oldboy
Dampfnudelblues (2013),Comedy Crime,Dampfnudelblues
Anchorman 2: The Legend Continues (2013),Comedy,Anchorman 2: The Legend Continues
Snowpiercer (2013),Action Drama Sci-Fi,Snowpiercer
Only Old Men Are Going to Battle (V boy idut odni stariki) (1973),Comedy Drama War,Only Old Men Are Going to Battle (V boy idut odni stariki)
Guest from the Future (Gostya iz buduschego) (1985),Adventure Drama Sci-Fi,Guest from the Future (Gostya iz buduschego)
"Kidnapping, Caucasian Style (Kavkazskaya plennitsa) (1967)",Comedy Romance,"Kidnapping, Caucasian Style (Kavkazskaya plennitsa)"
Haunter (2013),Horror Mystery Thriller,Haunter
Wrong Cops (2013),Comedy Crime,Wrong Cops
"Muppet Christmas: Letters to Santa, A (2008)",Children Comedy,"Muppet Christmas: Letters to Santa, A"
Ninja: Shadow of a Tear (2013),Action Crime Thriller,Ninja: Shadow of a Tear
"Fuck You, Goethe (Fack Ju Göhte) (2013)",Comedy,"Fuck You, Goethe (Fack Ju Göhte)"
High School (2010),Comedy,High School
Grudge Match (2013),Comedy,Grudge Match
Highlander: The Search for Vengeance (2007),Action Adventure Fantasy,Highlander: The Search for Vengeance
Only Lovers Left Alive (2013),Drama Horror Romance,Only Lovers Left Alive
Cats (1998),Musical,Cats
MacGyver: Trail to Doomsday (1994),Action Adventure,MacGyver: Trail to Doomsday
Bad Karma (2012),Thriller,Bad Karma
Hunting Elephants (2013),Comedy Crime,Hunting Elephants
Dragon Ball Z: Battle of Gods (2013),Action Animation Fantasy IMAX,Dragon Ball Z: Battle of Gods
Freezer (2014),Action Thriller,Freezer
We Are What We Are (2013),Drama Horror Mystery Thriller,We Are What We Are
Dragon ball Z 04: Lord Slug (1991),Animation Children,Dragon ball Z 04: Lord Slug
Chinese Puzzle (Casse-tête chinois) (2013),Comedy Romance,Chinese Puzzle (Casse-tête chinois)
Dragon Ball: The Path to Power (Doragon bôru: Saikyô e no michi) (1996),Action Adventure Animation Children,Dragon Ball: The Path to Power (Doragon bôru: Saikyô e no michi)
Ride Along (2014),Action Comedy,Ride Along
Jack Ryan: Shadow Recruit (2014),Action Drama Thriller IMAX,Jack Ryan: Shadow Recruit
Divergent (2014),Adventure Romance Sci-Fi IMAX,Divergent
Hotel Chevalier (Part 1 of 'The Darjeeling Limited') (2007),Drama,Hotel Chevalier (Part 1 of 'The Darjeeling Limited')
Ernest & Célestine (Ernest et Célestine) (2012),Adventure Animation Children Comedy Drama Romance,Ernest & Célestine (Ernest et Célestine)
Drift (2013),Drama,Drift
"I, Frankenstein (2014)",Action Fantasy Sci-Fi IMAX,"I, Frankenstein"
Better Living Through Chemistry (2014),Comedy Drama,Better Living Through Chemistry
Nymphomaniac: Volume I (2013),Drama,Nymphomaniac: Volume I
Enemy (2013),Mystery Thriller,Enemy
Wonder Woman (2009),Action Adventure Animation Fantasy,Wonder Woman
"Monuments Men, The (2014)",Action Drama War,"Monuments Men, The"
The Lego Movie (2014),Action Adventure Animation Children Comedy Fantasy,The Lego Movie
RoboCop (2014),Action Crime Sci-Fi IMAX,RoboCop
"Art of the Steal, The (2013)",Crime,"Art of the Steal, The"
Nymphomaniac: Volume II (2013),Drama Mystery,Nymphomaniac: Volume II
Knights of Badassdom (2013),Adventure Comedy Fantasy,Knights of Badassdom
Venus in Fur (La Vénus à la fourrure) (2013),Drama,Venus in Fur (La Vénus à la fourrure)
Date and Switch (2014),Comedy,Date and Switch
"Zero Theorem, The (2013)",Drama Fantasy Sci-Fi,"Zero Theorem, The"
Winter's Tale (2014),Drama Fantasy Mystery,Winter's Tale
On the Other Side of the Tracks (De l'autre côté du périph) (2012),Action Comedy Crime,On the Other Side of the Tracks (De l'autre côté du périph)
GLOW: The Story of the Gorgeous Ladies of Wrestling (2012),Documentary,GLOW: The Story of the Gorgeous Ladies of Wrestling
Cold Comes the Night (2013),Crime Drama Thriller,Cold Comes the Night
Chouchou (2003),Comedy,Chouchou
Someone Marry Barry (2014),Comedy,Someone Marry Barry
About Last Night (2014),Comedy Romance,About Last Night
"Grand Budapest Hotel, The (2014)",Comedy Drama,"Grand Budapest Hotel, The"
"Oversimplification of Her Beauty, An (2012)",Animation Comedy Drama Romance,"Oversimplification of Her Beauty, An"
Bring It On: Fight to the Finish (2009),Comedy,Bring It On: Fight to the Finish
That Awkward Moment (2014),Comedy Romance,That Awkward Moment
Interstellar (2014),Sci-Fi IMAX,Interstellar
3 Days to Kill (2014),Action Crime Drama,3 Days to Kill
Welcome to the Jungle (2013),Comedy,Welcome to the Jungle
Non-Stop (2014),Action Mystery Thriller,Non-Stop
Wrinkles (Arrugas) (2011),Animation Drama,Wrinkles (Arrugas)
"Garden of Words, The (Koto no ha no niwa) (2013)",Animation Romance,"Garden of Words, The (Koto no ha no niwa)"
300: Rise of an Empire (2014),Action Drama War IMAX,300: Rise of an Empire
Particle Fever (2013),Documentary,Particle Fever
"Bag Man, The (2014)",Crime Drama Thriller,"Bag Man, The"
Mr. Peabody & Sherman (2014),Adventure Animation Comedy,Mr. Peabody & Sherman
Under the Skin (2013),Horror Sci-Fi Thriller,Under the Skin
Need for Speed (2014),Action Crime Drama IMAX,Need for Speed
Barefoot (2014),Comedy Drama Romance,Barefoot
Veronica Mars (2014),Comedy Crime Drama,Veronica Mars
Bad Words (2013),Comedy,Bad Words
